% time	cellId	IMSI	frame	sframe	RNTI	mcs	size	ccId
0.273	1	1	28	4	1	0	85	0
0.587	1	4	59	8	78	20	161	0
0.587	1	12	59	8	82	20	161	0
0.587	1	7	59	8	29	20	161	1
0.587	1	9	59	8	39	20	161	1
0.588	1	1	59	9	87	20	161	0
0.588	1	6	59	9	91	20	161	0
0.588	1	2	59	9	50	20	161	1
0.588	1	11	59	9	58	20	161	1
0.589	1	13	59	10	94	20	161	0
0.589	1	3	59	10	96	20	161	0
0.589	1	10	59	10	63	20	161	1
0.589	1	8	59	10	71	20	161	1
0.289	1	1	29	10	1	28	2292	0
0.59	1	14	60	1	1	20	161	0
0.59	1	15	60	1	12	20	161	0
0.29	1	1	30	1	1	28	2292	0
0.59	1	4	60	1	78	20	161	1
0.59	1	12	60	1	82	20	161	1
0.291	1	1	30	2	1	28	2292	0
0.292	1	1	30	3	1	28	2292	0
0.293	1	1	30	4	1	28	2292	0
0.294	1	1	30	5	1	28	2292	0
0.591	1	5	60	2	20	20	161	0
0.591	1	7	60	2	29	20	161	0
0.295	1	1	30	6	1	28	2292	0
0.591	1	1	60	2	87	20	161	1
0.591	1	6	60	2	91	20	161	1
0.296	1	1	30	7	1	28	2292	0
0.592	1	9	60	3	39	20	161	0
0.592	1	2	60	3	50	20	161	0
0.592	1	13	60	3	94	20	161	1
0.592	1	3	60	3	96	20	161	1
0.297	1	1	30	8	1	28	2292	0
0.298	1	1	30	9	1	28	2292	0
0.299	1	1	30	10	1	28	2292	0
0.593	1	11	60	4	58	20	161	0
0.593	1	10	60	4	63	20	161	0
0.593	1	14	60	4	1	20	161	1
0.593	1	15	60	4	12	20	161	1
0.3	1	1	31	1	1	28	2292	0
0.301	1	1	31	2	1	28	2292	0
0.594	1	8	60	5	71	20	161	0
0.594	1	4	60	5	78	20	161	0
0.594	1	5	60	5	20	20	161	1
0.594	1	7	60	5	29	20	161	1
0.302	1	1	31	3	1	28	2292	0
0.303	1	1	31	4	1	28	2292	0
0.304	1	1	31	5	1	28	2292	0
0.595	1	12	60	6	82	20	161	0
0.595	1	1	60	6	87	20	161	0
0.595	1	9	60	6	39	20	161	1
0.595	1	2	60	6	50	20	161	1
0.305	1	1	31	6	1	28	2292	0
0.306	1	1	31	7	1	28	2292	0
0.596	1	6	60	7	91	20	161	0
0.596	1	13	60	7	94	20	161	0
0.596	1	11	60	7	58	20	161	1
0.596	1	10	60	7	63	20	161	1
0.307	1	1	31	8	1	28	2292	0
0.308	1	1	31	9	1	28	2292	0
0.597	1	3	60	8	96	20	161	0
0.597	1	14	60	8	1	20	161	0
0.309	1	1	31	10	1	28	2292	0
0.597	1	8	60	8	71	20	161	1
0.597	1	4	60	8	78	20	161	1
0.31	1	1	32	1	1	28	2292	0
0.598	1	15	60	9	12	20	161	0
0.598	1	5	60	9	20	20	161	0
0.598	1	12	60	9	82	20	161	1
0.598	1	1	60	9	87	20	161	1
0.311	1	1	32	2	1	28	2292	0
0.312	1	1	32	3	1	28	2292	0
0.313	1	1	32	4	1	28	2292	0
0.599	1	7	60	10	29	20	161	0
0.599	1	9	60	10	39	20	161	0
0.599	1	6	60	10	91	20	161	1
0.599	1	13	60	10	94	20	161	1
0.314	1	1	32	5	1	28	2292	0
0.315	1	1	32	6	1	28	2292	0
0.6	1	2	61	1	50	20	161	0
0.6	1	11	61	1	58	20	161	0
0.6	1	3	61	1	96	20	161	1
0.6	1	14	61	1	1	20	161	1
0.316	1	1	32	7	1	28	2292	0
0.317	1	1	32	8	1	28	2292	0
0.318	1	1	32	9	1	28	2292	0
0.601	1	10	61	2	63	20	161	0
0.601	1	8	61	2	71	20	161	0
0.601	1	15	61	2	12	20	161	1
0.601	1	5	61	2	20	20	161	1
0.319	1	1	32	10	1	28	2292	0
0.32	1	1	33	1	1	28	2292	0
0.602	1	4	61	3	78	20	161	0
0.602	1	12	61	3	82	20	161	0
0.602	1	7	61	3	29	20	161	1
0.602	1	9	61	3	39	20	161	1
0.321	1	1	33	2	1	28	2292	0
0.322	1	1	33	3	1	28	2292	0
0.603	1	1	61	4	87	20	161	0
0.603	1	6	61	4	91	20	161	0
0.603	1	2	61	4	50	20	161	1
0.603	1	11	61	4	58	20	161	1
0.323	1	1	33	4	1	28	2292	0
0.604	1	13	61	5	94	20	161	0
0.604	1	3	61	5	96	20	161	0
0.604	1	10	61	5	63	20	161	1
0.604	1	8	61	5	71	20	161	1
0.324	1	1	33	5	1	28	2292	0
0.325	1	1	33	6	1	28	2292	0
0.326	1	1	33	7	1	28	2292	0
0.605	1	14	61	6	1	20	161	0
0.605	1	15	61	6	12	20	161	0
0.605	1	4	61	6	78	20	161	1
0.605	1	12	61	6	82	20	161	1
0.327	1	1	33	8	1	28	2292	0
0.328	1	1	33	9	1	28	2292	0
0.606	1	5	61	7	20	20	161	0
0.606	1	7	61	7	29	20	161	0
0.606	1	1	61	7	87	20	161	1
0.606	1	6	61	7	91	20	161	1
0.329	1	1	33	10	1	28	2292	0
0.33	1	1	34	1	1	28	2292	0
0.607	1	9	61	8	39	20	161	0
